Date,IrrDay,Pump,Date,Date (no year)
2005-06-26,1.3383685185254797,0.0,2005-06-26,06-26
2005-07-03,7.083172542926205,70.67313761088663,2005-07-03,07-03
2005-07-10,17.1963666393689,343.3212737419195,2005-07-10,07-10
2005-07-17,11.271530725559694,244.07140464106718,2005-07-17,07-17
2005-07-24,8.232452336028388,236.5185796522058,2005-07-24,07-24
2005-07-31,12.45582729819613,335.88925032985793,2005-07-31,07-31
2005-08-07,7.9297201137230156,280.94080853013907,2005-08-07,08-07
2005-08-14,5.481731713170817,244.3338713791404,2005-08-14,08-14
2005-08-21,5.500919041055937,319.26418655278474,2005-08-21,08-21
2005-08-28,6.362451173903141,260.83493257359316,2005-08-28,08-28
2005-09-04,12.013681101720204,278.5096268098896,2005-09-04,09-04
2005-09-11,8.97117503487426,287.47322742102847,2005-09-11,09-11
2005-09-18,14.119723978752251,270.82138748514546,2005-09-18,09-18
2005-09-25,7.429743259548085,222.96786747154053,2005-09-25,09-25
2005-10-02,21.893520008422946,302.3759030606255,2005-10-02,10-02
2005-10-09,14.668776863888123,210.71371378353436,2005-10-09,10-09
2005-10-16,13.55703547017236,201.57782200496246,2005-10-16,10-16
