Date,IrrDay,Pump,Date,Date (no year)
2005-06-26,1.3383685185254797,0.0,2005-06-26,06-26
2005-07-03,7.083172542926205,63.375067625774335,2005-07-03,07-03
2005-07-10,17.1963666393689,338.76989111523005,2005-07-10,07-10
2005-07-17,11.271530725559694,239.13700211429287,2005-07-17,07-17
2005-07-24,8.232452336028388,227.51389624240443,2005-07-24,07-24
2005-07-31,12.45582729819613,335.7353501369506,2005-07-31,07-31
2005-08-07,7.9297201137230156,268.9663041028323,2005-08-07,08-07
2005-08-14,5.481731713170817,238.58321136781598,2005-08-14,08-14
2005-08-21,5.500919041055937,322.86093031408456,2005-08-21,08-21
2005-08-28,6.362451173903141,248.5015538258178,2005-08-28,08-28
2005-09-04,12.013681101720204,273.1765035576987,2005-09-04,09-04
2005-09-11,8.97117503487426,283.5136876145611,2005-09-11,09-11
2005-09-18,14.119723978752251,266.7985765001552,2005-09-18,09-18
2005-09-25,7.429743259548085,225.3159256651693,2005-09-25,09-25
2005-10-02,21.893520008422946,293.1360506877255,2005-10-02,10-02
2005-10-09,14.668776863888123,195.64132497585098,2005-10-09,10-09
2005-10-16,13.55703547017236,197.7735394747915,2005-10-16,10-16
