,Crop type,Harvest date (Y-M-D),Harvest date (step),Yield (t/ha),Seasonal irrigation (mm),Rainfall (mm/ha),ET (mm/ha),SMT (%TAW),Year,Profit ($/ha),rainfed_yield (tonne/ha),irrigated_yield (tonne/ha),WP (kg/mm)
0,Maize,2013-09-10,251,13.732044591467545,95.91422384715848,334.91,519.445317257725,50,2013,651.8538026169995,13.658842522723893,13.732044591467545,0.0007632034729312092
1,Maize,2013-09-10,251,13.739975920526179,120.91422384715848,334.91,521.0175719958123,55,2013,628.2814418475537,,13.739975920526179,0.0
2,Maize,2013-09-10,251,13.753509832693823,142.4882996266481,334.91,518.3271237369747,60,2013,609.1434702582401,,13.753509832693823,0.0
3,Maize,2013-09-10,251,13.819242055794286,185.55945973882993,334.91,541.2184094242954,65,2013,577.9041103041413,,13.819242055794286,0.0
4,Maize,2013-09-10,251,13.860929642113115,205.66129752644045,334.91,559.6525603274013,70,2013,565.30603805392,,13.860929642113115,0.0
