,Crop type,Harvest date (Y-M-D),Harvest date (step),Yield (t/ha),Seasonal irrigation (mm),Rainfall (mm/ha),ET (mm/ha),SMT (%TAW),Year,Profit ($/ha),rainfed_yield (tonne/ha),irrigated_yield (tonne/ha),WP (kg/mm)
0,Maize,2014-09-10,251,13.800061993813861,150.0,323.21999999999997,544.3252636738517,50,2014,610.0111588864947,12.96471960678002,13.800061993813861,0.005568949246892269
1,Maize,2014-09-10,251,13.784993196263931,150.0,323.21999999999997,543.8038037408118,55,2014,607.2987753275074,,13.784993196263931,0.0
2,Maize,2014-09-10,251,13.78193677952132,175.0,323.21999999999997,543.9286275280969,60,2014,581.7486203138378,,13.78193677952132,0.0
3,Maize,2014-09-10,251,13.7858381244733,200.0,323.21999999999997,547.7897010142525,65,2014,557.4508624051937,,13.7858381244733,0.0
4,Maize,2014-09-10,251,13.799199602220353,240.62397381546117,323.21999999999997,555.9672773103792,70,2014,519.2319545842024,,13.799199602220353,0.0
