,Crop type,Harvest date (Y-M-D),Harvest date (step),Yield (t/ha),Seasonal irrigation (mm),Rainfall (mm/ha),ET (mm/ha),SMT (%TAW),Year,Profit ($/ha),rainfed_yield (tonne/ha),irrigated_yield (tonne/ha),WP (kg/mm)
0,Maize,2014-09-10,251,13.83289416775199,150.0,323.21999999999997,516.481320501068,50,2014,615.9209501953583,13.075393595784384,13.83289416775199,0.005050003813117374
1,Maize,2014-09-10,251,13.81796047118374,150.0,323.21999999999997,516.5755391097556,55,2014,613.2328848130733,,13.81796047118374,0.0
2,Maize,2014-09-10,251,13.814908036449236,175.0,323.21999999999997,516.8105557161839,60,2014,587.6834465608622,,13.814908036449236,0.0
3,Maize,2014-09-10,251,13.804205107668968,175.0,323.21999999999997,516.3081861667505,65,2014,585.7569193804143,,13.804205107668968,0.0
4,Maize,2014-09-10,251,13.807101126850245,225.0,323.21999999999997,517.5756186226023,70,2014,536.2782028330444,,13.807101126850245,0.0
