,Crop type,Harvest date (Y-M-D),Harvest date (step),Yield (t/ha),Seasonal irrigation (mm),Rainfall (mm/ha),ET (mm/ha),SMT (%TAW),Year,Profit ($/ha),rainfed_yield (tonne/ha),irrigated_yield (tonne/ha),WP (kg/mm)
0,Maize,2013-09-10,251,13.794220337015503,75.0,334.91,487.01103769546967,50,2013,683.9596606627906,13.791244475703751,13.794220337015503,3.9678150823358274e-05
1,Maize,2013-09-10,251,13.78396795393358,100.0,334.91,486.88829040769775,55,2013,657.1142317080444,,13.78396795393358,0.0
2,Maize,2013-09-10,251,13.788670565764551,100.0,334.91,487.0755050592167,60,2013,657.9607018376191,,13.788670565764551,0.0
3,Maize,2013-09-10,251,13.80372316758834,125.0,334.91,487.7060149505526,65,2013,635.6701701659013,,13.80372316758834,0.0
4,Maize,2013-09-10,251,13.862445820276111,164.1313589734025,334.91,505.0925381583001,70,2013,607.1088886762973,,13.862445820276111,0.0
